time_ms,iso_utc,funding_rate_hourly,premium
1780448400036,2026-06-03T01:00:00.036000+00:00,0.0000125,-0.0000022126
1780452000062,2026-06-03T02:00:00.062000+00:00,0.0000125,-0.0000399792
1780455600014,2026-06-03T03:00:00.014000+00:00,0.0000125,-0.0000601325
1780459200013,2026-06-03T04:00:00.013000+00:00,0.0000125,-0.0000491195
1780462800067,2026-06-03T05:00:00.067000+00:00,0.0000125,-0.0000007595
1780466400063,2026-06-03T06:00:00.063000+00:00,0.0000125,-0.0000062738
1780470000027,2026-06-03T07:00:00.027000+00:00,0.0000125,0.0000012052
1780473600040,2026-06-03T08:00:00.040000+00:00,0.0000125,0.0000360788
1780477200040,2026-06-03T09:00:00.040000+00:00,0.0000125,0.000020351
1780480800062,2026-06-03T10:00:00.062000+00:00,0.0000125,0.0000092105
1780484400013,2026-06-03T11:00:00.013000+00:00,0.0000125,0.0000128425
1780488000046,2026-06-03T12:00:00.046000+00:00,0.0000125,0.0000120154
1780491600050,2026-06-03T13:00:00.050000+00:00,0.0000125,0.0000069173
1780495200007,2026-06-03T14:00:00.007000+00:00,0.0000125,0.000028823
1780498800049,2026-06-03T15:00:00.049000+00:00,0.0000125,-0.000021288
1780502400028,2026-06-03T16:00:00.028000+00:00,0.0000125,-0.000057321
1780506000013,2026-06-03T17:00:00.013000+00:00,0.0000125,-0.000079666
1780509600020,2026-06-03T18:00:00.020000+00:00,0.0000125,-0.0002750967
1780513200000,2026-06-03T19:00:00+00:00,0.0000125,-0.0003618385
1780516800019,2026-06-03T20:00:00.019000+00:00,0.0000125,-0.0002564263
1780520400009,2026-06-03T21:00:00.009000+00:00,0.0000125,-0.0002478687
1780524000056,2026-06-03T22:00:00.056000+00:00,0.0000125,-0.000264432
1780527600002,2026-06-03T23:00:00.002000+00:00,0.0000125,-0.0000581674
1780531200032,2026-06-04T00:00:00.032000+00:00,0.0000125,-0.0000654357
1780534800002,2026-06-04T01:00:00.002000+00:00,0.0000125,-0.0000380945
1780538400047,2026-06-04T02:00:00.047000+00:00,0.0000125,-0.0002244093
1780542000080,2026-06-04T03:00:00.080000+00:00,0.0000125,-0.0003920921
1780545600010,2026-06-04T04:00:00.010000+00:00,0.0000125,-0.0001473495
1780549200076,2026-06-04T05:00:00.076000+00:00,0.0000125,-0.0002512974
1780552800007,2026-06-04T06:00:00.007000+00:00,0.0000125,-0.000112161
1780556400059,2026-06-04T07:00:00.059000+00:00,0.0000125,-0.0000595314
1780560000004,2026-06-04T08:00:00.004000+00:00,-0.000037188,-0.0007975037
1780563600027,2026-06-04T09:00:00.027000+00:00,0.0000030311,-0.0004757515
1780567200015,2026-06-04T10:00:00.015000+00:00,-0.0000214436,-0.000671549
1780570800025,2026-06-04T11:00:00.025000+00:00,0.0000111829,-0.0004105368
1780574400078,2026-06-04T12:00:00.078000+00:00,0.0000125,-0.0002989159
1780578000006,2026-06-04T13:00:00.006000+00:00,0.0000125,-0.0001274246
1780581600014,2026-06-04T14:00:00.014000+00:00,0.0000125,-0.0001248236
1780585200006,2026-06-04T15:00:00.006000+00:00,0.0000125,-0.0002493647
1780588800043,2026-06-04T16:00:00.043000+00:00,0.0000125,-0.000006609
1780592400015,2026-06-04T17:00:00.015000+00:00,0.0000125,-0.0000555462
1780596000073,2026-06-04T18:00:00.073000+00:00,0.0000125,-0.0000766674
1780599600000,2026-06-04T19:00:00+00:00,0.0000125,-0.0002777752
1780603200031,2026-06-04T20:00:00.031000+00:00,0.0000125,-0.0002434828
1780606800063,2026-06-04T21:00:00.063000+00:00,-0.000042988,-0.0008439038
1780610400059,2026-06-04T22:00:00.059000+00:00,-0.0000206805,-0.0006654436
1780614000046,2026-06-04T23:00:00.046000+00:00,-0.0000073858,-0.0005590866
1780617600043,2026-06-05T00:00:00.043000+00:00,-0.0000245052,-0.0006960417
1780621200052,2026-06-05T01:00:00.052000+00:00,0.0000125,-0.0003397891
1780624800003,2026-06-05T02:00:00.003000+00:00,-0.0000114018,-0.000591214
