arm,width,width_pct,envelope,envelope_bps,window,hours,net_usd,per_day_usd,lp_fees_usd,il_usd,basket_delta_usd,lp_value_change_usd,onchain_cost_usd,hedge_price_pnl_usd,funding_usd,rehedge_notional_usd,swapped_notional_usd,n_recenters,n_rehedges,volume_usd,volume_in_range_usd,n_swaps,seconds_out_of_range
always_in_w6,6.0,0.0030043540627415766,central,3.3586560000000003,2026-07,744.0,-124.84016614593249,-4.027102133739757,81.68347791610177,-100.21324932037578,11.498172851549747,-88.63100342889732,96.61487183138738,-14.024720189038925,0.2722670197981909,22405.73500980399,60175.406074466235,1550,2294,1169515005.643973,1136178534.856471,783542,0.0
always_in_w6,6.0,0.0030043540627415766,central,3.3586560000000003,2026-08,647.9938888888889,-20.56416607715564,-0.7616429634822718,3.2119582034883534,-3.3338565568733816,0.2886816811605617,-3.0343694520946323,19.832835882641422,-0.45894395547284556,0.01642400093372788,1388.6476952948487,2312.853312592487,440,893,438283391.68282545,434054786.54361326,250605,0.0
always_in_w6,6.0,0.0030043540627415766,pessimistic,8.32,full,2855.9938888888887,-1328.503281332305,-11.163917008372758,1484.3640356438668,-1644.2139386936901,-22.192236459519744,-1666.4061751532058,833.0048011875223,8.945722458049522,3.4107256980026053,391601.90960516344,1110758.0876576474,6152,8813,4737626288.908481,4668610872.014077,3015015,0.0
always_in_w6,6.0,0.0030043540627415766,pessimistic,8.32,2026-05,744.0,-572.629246376429,-18.471911173433195,678.9373241160741,-731.3675692617708,-13.138109734304862,-744.5056789960756,309.6908220158058,-2.69381564443225,2.5719045064722126,237077.11339262224,509470.59944870154,1111,1855,1615414638.9706728,1601137416.6318595,575611,0.0
always_in_w6,6.0,0.0030043540627415766,pessimistic,8.32,2026-06,720.0,-598.6644909460406,-19.955483031534687,720.5312754081959,-809.2992635546791,-20.84098125792518,-830.2351232761498,406.8662714576852,26.123202246993554,0.5501301707984673,130730.41350744416,538799.2288218922,3051,3771,1514413252.6110125,1497240133.9821258,1405257,0.0
always_in_w6,6.0,0.0030043540627415766,pessimistic,8.32,2026-07,744.0,-135.9564220415806,-4.385691033599374,81.68347791610177,-100.21324932037578,11.498172851549747,-88.63100342889732,96.61487183138738,-14.024720189038925,0.2722670197981909,22405.73500980399,60175.406074466235,1550,2294,1169515005.643973,1136178534.856471,783542,0.0
always_in_w6,6.0,0.0030043540627415766,pessimistic,8.32,2026-08,647.9938888888889,-21.253121968272133,-0.7871600889834832,3.2119582034883534,-3.3338565568733816,0.2886816811605617,-3.0343694520946323,19.832835882641422,-0.45894395547284556,0.01642400093372788,1388.6476952948487,2312.853312592487,440,893,438283391.68282545,434054786.54361326,250605,0.0
always_in_w10,10.0,0.005012269623050569,optimistic,1.984,full,2855.9938888888887,-912.5273940149449,-7.668313836931572,1411.3385524055732,-1756.316582293502,-44.08251373295579,-1800.3990960264546,480.6525788861088,24.472599309895454,5.157955300306672,365145.2929342583,690843.6098663582,2941,5798,5444641880.183741,5403637562.432175,3434112,0.0
always_in_w10,10.0,0.005012269623050569,optimistic,1.984,2026-05,744.0,-244.16077734115856,-7.876154107779309,453.24033731874437,-521.5915316495881,-38.92324701651387,-560.514778666102,128.61344125100766,20.791703784731904,2.8165487052685356,160691.26629432337,213453.73472552406,438,1182,1614224543.7247095,1607927202.8420508,574983,0.0
always_in_w10,10.0,0.005012269623050569,optimistic,1.984,2026-06,720.0,-422.3344187784998,-14.077813959283327,673.0430347334241,-856.4708744498896,-58.178756246877754,-914.8929937272426,228.97237023488853,71.69711601948204,0.8311984034557813,121171.39099158559,338603.56204634067,1286,2006,1515594362.7199752,1507490104.4577837,1405872,0.0
