open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2024-10-02 08:00:00,61727.39,61914.34,61603.49,61806.01,535.23837,2024-10-02 08:59:59.999,33066001.512931,95711,244.96611,15132795.1459485
2024-10-02 09:00:00,61806.01,61817.76,61130.0,61271.25,1082.07393,2024-10-02 09:59:59.999,66490801.4056931,187318,419.32555,25754261.4549319
2024-10-02 10:00:00,61271.24,61555.0,61151.04,61188.28,1005.99847,2024-10-02 10:59:59.999,61668996.4111018,207920,392.39113,24053360.494958
2024-10-02 11:00:00,61188.27,61380.0,60888.88,61164.01,1204.28505,2024-10-02 11:59:59.999,73668539.0684237,246111,503.84049,30826411.6110854
2024-10-02 12:00:00,61164.01,61220.0,60696.4,60798.8,1274.80586,2024-10-02 12:59:59.999,77756483.2222828,255773,572.69112,34937884.4236114
2024-10-02 13:00:00,60798.8,61460.0,60524.21,61350.0,2508.38932,2024-10-02 13:59:59.999,152863334.9965529,477841,1318.38659,80348483.9951507
2024-10-02 14:00:00,61350.0,61672.0,61047.16,61077.78,2267.56057,2024-10-02 14:59:59.999,139167515.7629932,468940,1159.35324,71168466.2681183
2024-10-02 15:00:00,61077.77,61926.9,61059.9,61874.01,1514.52104,2024-10-02 15:59:59.999,93354460.9708516,343856,886.26718,54618338.653783
2024-10-02 16:00:00,61874.01,62390.31,61779.87,61800.0,1555.81954,2024-10-02 16:59:59.999,96607204.1236311,298160,804.39579,49958119.4217419
2024-10-02 17:00:00,61800.01,61835.99,61242.0,61628.01,1115.92104,2024-10-02 17:59:59.999,68722389.2942931,313070,514.93973,31710013.9725988
2024-10-02 18:00:00,61628.01,61691.0,60762.09,60762.09,1403.72059,2024-10-02 18:59:59.999,85807548.8875435,288324,565.047,34539615.8236883
2024-10-02 19:00:00,60762.1,60926.0,60000.0,60190.01,3854.05654,2024-10-02 19:59:59.999,232646135.2908265,437578,1643.55975,99199829.2452252
2024-10-02 20:00:00,60190.01,60999.24,60128.0,60924.0,3301.59077,2024-10-02 20:59:59.999,200004983.5222555,294503,1850.80501,112114077.1216079
2024-10-02 21:00:00,60923.99,60952.0,60656.0,60831.99,607.84007,2024-10-02 21:59:59.999,36955150.9039209,80886,323.79188,19684173.6497255
2024-10-02 22:00:00,60832.0,60851.75,60438.0,60851.74,678.65953,2024-10-02 22:59:59.999,41141055.4486296,93147,332.0773,20133733.4869961
2024-10-02 23:00:00,60851.74,60869.56,60622.0,60649.28,510.97556,2024-10-02 23:59:59.999,31034525.1627472,54052,302.24936,18358790.7036243
2024-10-03 00:00:00,60649.27,61105.0,60536.0,60988.01,1646.41886,2024-10-03 00:59:59.999,100211274.9713688,288933,933.96753,56839137.9142279
2024-10-03 01:00:00,60988.01,61183.76,60919.9,61024.0,834.87326,2024-10-03 01:59:59.999,50989390.3488481,188825,472.1117,28831536.3644764
2024-10-03 02:00:00,61024.0,61274.0,60987.0,61185.17,502.78816,2024-10-03 02:59:59.999,30742128.0327695,129826,299.38517,18306380.0412997
2024-10-03 03:00:00,61185.18,61464.0,61092.0,61463.99,673.23178,2024-10-03 03:59:59.999,41243218.6973969,122008,386.07299,23652648.3621116
2024-10-03 04:00:00,61464.0,61477.19,61276.31,61326.0,571.45959,2024-10-03 04:59:59.999,35077532.7627644,82250,217.88818,13375902.2537796
2024-10-03 05:00:00,61326.0,61360.0,61100.0,61176.01,702.22305,2024-10-03 05:59:59.999,42973324.7607155,82799,345.71576,21154688.3528323
2024-10-03 06:00:00,61176.0,61418.42,61106.01,61334.01,618.19443,2024-10-03 06:59:59.999,37888584.7142255,75384,368.24519,22569173.7021651
2024-10-03 07:00:00,61334.0,61424.25,60814.12,60926.0,1459.32009,2024-10-03 07:59:59.999,89237789.7683357,143403,465.60998,28464827.0150411
2024-10-03 08:00:00,60926.0,60978.0,60138.0,60354.0,1805.58584,2024-10-03 08:59:59.999,109077044.7192087,311107,815.65318,49270421.4836452
2024-10-03 09:00:00,60354.0,60765.33,60126.56,60720.48,984.32204,2024-10-03 09:59:59.999,59553178.7529138,240676,487.96615,29518661.1194061
2024-10-03 10:00:00,60720.48,61036.0,60648.0,61025.98,738.07634,2024-10-03 10:59:59.999,44904211.5946069,151475,415.53655,25285212.0884147
2024-10-03 11:00:00,61025.98,61070.47,60594.0,60764.74,879.13477,2024-10-03 11:59:59.999,53457355.4441817,159305,392.95678,23894423.1395924
2024-10-03 12:00:00,60764.73,60770.0,60372.12,60469.95,1231.76196,2024-10-03 12:59:59.999,74565105.8986283,268439,587.86893,35586657.5858859
2024-10-03 13:00:00,60469.95,60583.99,59828.11,60382.05,2876.5955,2024-10-03 13:59:59.999,173292629.3368512,563169,1393.17554,83991369.26898
2024-10-03 14:00:00,60382.06,60900.0,60100.0,60172.01,2862.27532,2024-10-03 14:59:59.999,173140199.5250061,677363,1483.58164,89760152.3983303
2024-10-03 15:00:00,60172.01,60690.0,60044.0,60641.5,1601.39415,2024-10-03 15:59:59.999,96563307.0328533,532066,827.74114,49919773.7807409
2024-10-03 16:00:00,60641.5,60781.53,60084.0,60168.0,1306.79294,2024-10-03 16:59:59.999,78871908.9535395,363925,636.81897,38436477.5700424
2024-10-03 17:00:00,60167.99,60723.68,59917.02,60632.0,1556.13418,2024-10-03 17:59:59.999,94043984.6315454,277427,816.96228,49394907.8743346
2024-10-03 18:00:00,60632.0,60858.31,60531.85,60722.31,684.53507,2024-10-03 18:59:59.999,41543280.3468887,173235,312.95383,18997624.4722707
2024-10-03 19:00:00,60722.31,61058.0,60544.33,61036.0,861.39195,2024-10-03 19:59:59.999,52402558.7088457,122325,455.41449,27715721.9283048
2024-10-03 20:00:00,61036.0,61100.0,60668.0,60773.99,610.81892,2024-10-03 20:59:59.999,37176345.9132187,95437,234.63365,14282659.3317319
2024-10-03 21:00:00,60774.0,60950.0,60596.4,60807.13,437.80348,2024-10-03 21:59:59.999,26605272.8108313,59147,186.6448,11344918.6462413
2024-10-03 22:00:00,60807.13,60978.26,60714.0,60895.27,420.20059,2024-10-03 22:59:59.999,25562558.6995735,70106,215.87708,13132896.979707
2024-10-03 23:00:00,60895.27,60984.0,60700.49,60752.71,356.10245,2024-10-03 23:59:59.999,21651680.3823262,65374,153.73313,9347530.0595554
2024-10-04 00:00:00,60752.72,60812.0,60459.9,60504.01,660.07721,2024-10-04 00:59:59.999,40028433.9444459,184618,276.78015,16784745.7918535
2024-10-04 01:00:00,60504.01,61256.47,60488.0,61218.0,1068.07006,2024-10-04 01:59:59.999,65167884.3823439,245146,658.13702,40149035.9816514
