arm,width,width_pct,envelope,envelope_bps,window,hours,net_usd,per_day_usd,lp_fees_usd,il_usd,basket_delta_usd,lp_value_change_usd,onchain_cost_usd,hedge_price_pnl_usd,funding_usd,rehedge_notional_usd,swapped_notional_usd,n_recenters,n_rehedges,volume_usd,volume_in_range_usd,n_swaps,seconds_out_of_range
always_in_w4,4.0,0.0020019011404843745,pessimistic,8.32,2026-08,647.9938888888889,-1199.940113134188,-44.442645538835606,1578.0286347354545,-1588.0772100190409,252.98480511730293,-1335.036055391682,955.7394978250603,-253.0365290665583,2.43956887677734,284370.47411432595,1621888.428370632,2827,2828,1145308490.6297534,1122783329.4450593,669716,0.0
always_in_w6,6.0,0.0030043540627415766,optimistic,1.984,full,2855.9938888888887,-3227.98956679774,-27.126020788961068,5359.542566114437,-6113.72104898764,251.1697887635828,-5862.551260224085,2380.5036209062923,-251.16978876127055,10.18837215823008,521652.39505422977,4027400.9173739823,7191,7193,5444651387.855416,5367603858.513735,3434126,0.0
always_in_w6,6.0,0.0030043540627415766,optimistic,1.984,2026-05,744.0,-447.50522195872657,-14.435652321249243,842.0187563746149,-904.8248600554583,-20.939230315054715,-925.764090370513,371.0335010348235,20.93923031571232,2.8412670797271695,83200.0217915548,628467.0669928688,1111,1112,1615414638.9706728,1601137416.6318595,575611,0.0
always_in_w6,6.0,0.0030043540627415766,optimistic,1.984,2026-06,720.0,-1331.7228778636952,-44.39076259545651,2292.606086036544,-2568.0658559563635,-11.043739576900975,-2579.891226280675,1013.2207180087975,11.599143368290699,1.1596273998327975,221652.1692484397,1715044.5179608124,3051,3051,1514413252.6110125,1497240133.9821258,1405257,0.0
always_in_w6,6.0,0.0030043540627415766,optimistic,1.984,2026-07,744.0,-820.977001687839,-26.483129086704484,1160.9567470819875,-1452.970007845215,119.4416757223645,-1333.3062113560684,510.7715216781455,-119.57148037014001,3.5488442860747593,110047.27646949259,863583.0682408252,1550,1550,1169515005.643973,1136178534.856471,783542,0.0
always_in_w6,6.0,0.0030043540627415766,optimistic,1.984,2026-08,647.9938888888889,-627.7844652874634,-23.251495770637767,1063.960976621282,-1187.8603251306085,163.711082933174,-1023.5897322168145,485.47788018451524,-164.13668207513385,2.638633392595349,106752.92754474378,820306.2641794677,1479,1480,1145308490.6297548,1133047773.0432866,669716,0.0
always_in_w6,6.0,0.0030043540627415766,central,3.3586560000000003,full,2855.9938888888887,-3299.6988262753066,-27.728620897510723,5359.542566114437,-6113.72104898764,251.1697887635828,-5862.551260224085,2380.5036209062923,-251.16978876127055,10.18837215823008,521652.39505422977,4027400.9173739823,7191,7193,5444651387.855416,5367603858.513735,3434126,0.0
always_in_w6,6.0,0.0030043540627415766,central,3.3586560000000003,2026-05,744.0,-458.94236287431573,-14.804592350784379,842.0187563746149,-904.8248600554583,-20.939230315054715,-925.764090370513,371.0335010348235,20.93923031571232,2.8412670797271695,83200.0217915548,628467.0669928688,1111,1112,1615414638.9706728,1601137416.6318595,575611,0.0
always_in_w6,6.0,0.0030043540627415766,central,3.3586560000000003,2026-06,720.0,-1362.1924263007336,-45.40641421002445,2292.606086036544,-2568.0658559563635,-11.043739576900975,-2579.891226280675,1013.2207180087975,11.599143368290699,1.1596273998327975,221652.1692484397,1715044.5179608124,3051,3051,1514413252.6110125,1497240133.9821258,1405257,0.0
always_in_w6,6.0,0.0030043540627415766,central,3.3586560000000003,2026-07,744.0,-836.1047165760837,-26.971119889551087,1160.9567470819875,-1452.970007845215,119.4416757223645,-1333.3062113560684,510.7715216781455,-119.57148037014001,3.5488442860747593,110047.27646949259,863583.0682408252,1550,1550,1169515005.643973,1136178534.856471,783542,0.0
always_in_w6,6.0,0.0030043540627415766,central,3.3586560000000003,2026-08,647.9938888888889,-642.4593205241581,-23.795014053324945,1063.960976621282,-1187.8603251306085,163.711082933174,-1023.5897322168145,485.47788018451524,-164.13668207513385,2.638633392595349,106752.92754474378,820306.2641794677,1479,1480,1145308490.6297548,1133047773.0432866,669716,0.0
