call_block_number,call_block_time,contract_address,output_feeProtocol,output_sqrtPriceX96,output_tick
23267591,2025-09-01 10:08:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5279562786218871583033232,-192335
23267608,2025-09-01 10:12:23.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5279562786218871583033232,-192335
23267621,2025-09-01 10:14:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5279562849815178971278316,-192335
23267646,2025-09-01 10:19:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5279562851311854051655869,-192335
23267678,2025-09-01 10:26:23.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5279562888616836941500909,-192335
23267717,2025-09-01 10:34:23.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5268170568467534013343671,-192378
23267717,2025-09-01 10:34:23.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5268170431080749596977987,-192378
23267749,2025-09-01 10:40:47.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5259888954210147019425244,-192410
23267814,2025-09-01 10:53:47.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5258342859637150034191135,-192416
23267841,2025-09-01 10:59:11.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5258342859637150034191135,-192416
23267879,2025-09-01 11:06:47.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5258342762839811333717826,-192416
23267888,2025-09-01 11:08:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5258342360525126653109802,-192416
23267888,2025-09-01 11:08:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5258342762839811333717826,-192416
23267901,2025-09-01 11:11:11.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5258342360525126653109802,-192416
23267905,2025-09-01 11:11:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5258342360525126653109802,-192416
23267928,2025-09-01 11:16:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5258342360525126653109802,-192416
23267939,2025-09-01 11:18:47.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5248356065797561779224576,-192454
23267939,2025-09-01 11:18:47.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5248356065797561779224576,-192454
23267940,2025-09-01 11:18:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5248356065797561779224576,-192454
23267973,2025-09-01 11:25:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5252033306074399820128729,-192440
23267976,2025-09-01 11:26:11.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5252033306074399820128729,-192440
23267982,2025-09-01 11:27:23.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5252033309212320890273406,-192440
23267982,2025-09-01 11:27:23.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5252033306074399820128729,-192440
23267990,2025-09-01 11:28:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5252033309212320890273406,-192440
23268016,2025-09-01 11:34:11.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5252033309212320890273406,-192440
23268040,2025-09-01 11:38:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5252042238340334134329228,-192440
23268040,2025-09-01 11:38:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5252041896877246780607093,-192440
23268078,2025-09-01 11:46:47.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5252047447524094033294584,-192440
23268143,2025-09-01 11:59:47.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5252111782493583136708699,-192439
23268191,2025-09-01 12:09:23.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5251496454381131161880065,-192442
23268191,2025-09-01 12:09:23.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5251274652508778960980766,-192442
23268230,2025-09-01 12:17:23.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5252491832266337854842650,-192438
23268236,2025-09-01 12:18:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5252769082770755532110760,-192437
23268246,2025-09-01 12:20:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5253117475622866410110367,-192435
23268246,2025-09-01 12:20:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5253117475622866410110367,-192435
23268246,2025-09-01 12:20:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5254032786871504647249263,-192432
23268246,2025-09-01 12:20:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5254143904555021157712317,-192432
