funding_time_ms,iso_utc,funding_rate_8h,mark_price
1639756800006,2021-12-17T16:00:00.006000+00:00,0.00010000,
1639785600014,2021-12-18T00:00:00.014000+00:00,0.00010000,
1639814400012,2021-12-18T08:00:00.012000+00:00,0.00009845,
1639843200000,2021-12-18T16:00:00+00:00,0.00010000,
1639872000031,2021-12-19T00:00:00.031000+00:00,0.00010000,
1639900800000,2021-12-19T08:00:00+00:00,0.00010000,
1639929600003,2021-12-19T16:00:00.003000+00:00,0.00010000,
1639958400015,2021-12-20T00:00:00.015000+00:00,0.00010000,
1639987200007,2021-12-20T08:00:00.007000+00:00,0.00010000,
1640016000005,2021-12-20T16:00:00.005000+00:00,0.00010000,
1640044800003,2021-12-21T00:00:00.003000+00:00,0.00010000,
1640073600012,2021-12-21T08:00:00.012000+00:00,0.00010000,
1640102400005,2021-12-21T16:00:00.005000+00:00,0.00010000,
1640131200000,2021-12-22T00:00:00+00:00,0.00010000,
1640160000001,2021-12-22T08:00:00.001000+00:00,0.00010000,
1640188800006,2021-12-22T16:00:00.006000+00:00,0.00010000,
1640217600011,2021-12-23T00:00:00.011000+00:00,0.00010000,
1640246400000,2021-12-23T08:00:00+00:00,0.00010000,
1640275200000,2021-12-23T16:00:00+00:00,0.00010000,
1640304000005,2021-12-24T00:00:00.005000+00:00,0.00010000,
1640332800000,2021-12-24T08:00:00+00:00,0.00010000,
1640361600011,2021-12-24T16:00:00.011000+00:00,0.00010000,
1640390400000,2021-12-25T00:00:00+00:00,0.00010000,
1640419200001,2021-12-25T08:00:00.001000+00:00,0.00010000,
1640448000005,2021-12-25T16:00:00.005000+00:00,0.00010000,
1640476800004,2021-12-26T00:00:00.004000+00:00,0.00010000,
1640505600002,2021-12-26T08:00:00.002000+00:00,0.00010000,
1640534400000,2021-12-26T16:00:00+00:00,0.00010000,
1640563200002,2021-12-27T00:00:00.002000+00:00,0.00010000,
1640592000005,2021-12-27T08:00:00.005000+00:00,0.00010000,
1640620800000,2021-12-27T16:00:00+00:00,0.00010000,
1640649600000,2021-12-28T00:00:00+00:00,0.00010000,
1640678400012,2021-12-28T08:00:00.012000+00:00,0.00010000,
1640707200000,2021-12-28T16:00:00+00:00,0.00010000,
1640736000006,2021-12-29T00:00:00.006000+00:00,0.00010000,
1640764800003,2021-12-29T08:00:00.003000+00:00,0.00010000,
1640793600004,2021-12-29T16:00:00.004000+00:00,0.00010000,
1640822400003,2021-12-30T00:00:00.003000+00:00,0.00010000,
1640851200001,2021-12-30T08:00:00.001000+00:00,0.00010000,
1640880000017,2021-12-30T16:00:00.017000+00:00,0.00010000,
1640908800006,2021-12-31T00:00:00.006000+00:00,0.00010000,
1640937600009,2021-12-31T08:00:00.009000+00:00,0.00010000,
1640966400000,2021-12-31T16:00:00+00:00,0.00010000,
1640995200006,2022-01-01T00:00:00.006000+00:00,0.00010000,
1641024000009,2022-01-01T08:00:00.009000+00:00,0.00010000,
1641052800000,2022-01-01T16:00:00+00:00,0.00010000,
1641081600028,2022-01-02T00:00:00.028000+00:00,0.00010000,
1641110400000,2022-01-02T08:00:00+00:00,0.00010000,
1641139200000,2022-01-02T16:00:00+00:00,0.00010000,
1641168000010,2022-01-03T00:00:00.010000+00:00,0.00010000,
1641196800013,2022-01-03T08:00:00.013000+00:00,0.00010000,
1641225600018,2022-01-03T16:00:00.018000+00:00,0.00010000,
1641254400000,2022-01-04T00:00:00+00:00,0.00010000,
1641283200010,2022-01-04T08:00:00.010000+00:00,0.00010000,
1641312000002,2022-01-04T16:00:00.002000+00:00,0.00010000,
1641340800001,2022-01-05T00:00:00.001000+00:00,0.00010000,
1641369600017,2022-01-05T08:00:00.017000+00:00,0.00010000,
1641398400000,2022-01-05T16:00:00+00:00,0.00010000,
1641427200002,2022-01-06T00:00:00.002000+00:00,0.00010000,
1641456000021,2022-01-06T08:00:00.021000+00:00,0.00010000,
1641484800006,2022-01-06T16:00:00.006000+00:00,0.00010000,
1641513600005,2022-01-07T00:00:00.005000+00:00,0.00010000,
1641542400000,2022-01-07T08:00:00+00:00,0.00010000,
1641571200001,2022-01-07T16:00:00.001000+00:00,0.00010000,
1641600000014,2022-01-08T00:00:00.014000+00:00,0.00010000,
1641628800013,2022-01-08T08:00:00.013000+00:00,0.00010000,
1641657600000,2022-01-08T16:00:00+00:00,0.00010000,
1641686400003,2022-01-09T00:00:00.003000+00:00,0.00010000,
1641715200000,2022-01-09T08:00:00+00:00,0.00010000,
1641744000000,2022-01-09T16:00:00+00:00,0.00010000,
1641772800000,2022-01-10T00:00:00+00:00,-0.00003312,
1641801600010,2022-01-10T08:00:00.010000+00:00,0.00005943,
1641830400007,2022-01-10T16:00:00.007000+00:00,0.00010000,
1641859200013,2022-01-11T00:00:00.013000+00:00,0.00010000,
1641888000004,2022-01-11T08:00:00.004000+00:00,0.00010000,
1641916800000,2022-01-11T16:00:00+00:00,0.00010000,
1641945600012,2022-01-12T00:00:00.012000+00:00,0.00010000,
1641974400015,2022-01-12T08:00:00.015000+00:00,0.00010000,
1642003200000,2022-01-12T16:00:00+00:00,0.00010000,
1642032000007,2022-01-13T00:00:00.007000+00:00,0.00010000,
1642060800000,2022-01-13T08:00:00+00:00,0.00010000,
1642089600014,2022-01-13T16:00:00.014000+00:00,0.00010000,
1642118400000,2022-01-14T00:00:00+00:00,0.00010000,
1642147200006,2022-01-14T08:00:00.006000+00:00,0.00010000,
1642176000014,2022-01-14T16:00:00.014000+00:00,0.00010000,
1642204800000,2022-01-15T00:00:00+00:00,0.00010000,
1642233600002,2022-01-15T08:00:00.002000+00:00,0.00010000,
1642262400000,2022-01-15T16:00:00+00:00,0.00010000,
1642291200000,2022-01-16T00:00:00+00:00,0.00010000,
1642320000017,2022-01-16T08:00:00.017000+00:00,0.00010000,
1642348800011,2022-01-16T16:00:00.011000+00:00,0.00010000,
1642377600005,2022-01-17T00:00:00.005000+00:00,0.00010000,
1642406400006,2022-01-17T08:00:00.006000+00:00,0.00010000,
1642435200012,2022-01-17T16:00:00.012000+00:00,0.00010000,
1642464000020,2022-01-18T00:00:00.020000+00:00,0.00010000,
1642492800000,2022-01-18T08:00:00+00:00,0.00010000,
1642521600013,2022-01-18T16:00:00.013000+00:00,0.00010000,
1642550400001,2022-01-19T00:00:00.001000+00:00,0.00010000,
1642579200000,2022-01-19T08:00:00+00:00,0.00010000,
1642608000000,2022-01-19T16:00:00+00:00,0.00010000,
1642636800015,2022-01-20T00:00:00.015000+00:00,0.00010000,
1642665600000,2022-01-20T08:00:00+00:00,0.00010000,
1642694400000,2022-01-20T16:00:00+00:00,0.00010000,
1642723200007,2022-01-21T00:00:00.007000+00:00,0.00006201,
1642752000015,2022-01-21T08:00:00.015000+00:00,0.00010000,
1642780800000,2022-01-21T16:00:00+00:00,0.00010000,
1642809600017,2022-01-22T00:00:00.017000+00:00,0.00010000,
1642838400003,2022-01-22T08:00:00.003000+00:00,0.00005695,
1642867200021,2022-01-22T16:00:00.021000+00:00,-0.00005728,
1642896000026,2022-01-23T00:00:00.026000+00:00,0.00010000,
1642924800010,2022-01-23T08:00:00.010000+00:00,0.00008932,
1642953600009,2022-01-23T16:00:00.009000+00:00,-0.00004397,
1642982400010,2022-01-24T00:00:00.010000+00:00,0.00010000,
1643011200000,2022-01-24T08:00:00+00:00,0.00002053,
1643040000021,2022-01-24T16:00:00.021000+00:00,0.00010000,
1643068800000,2022-01-25T00:00:00+00:00,0.00010000,
1643097600000,2022-01-25T08:00:00+00:00,0.00010000,
1643126400012,2022-01-25T16:00:00.012000+00:00,0.00010000,
1643155200000,2022-01-26T00:00:00+00:00,0.00001144,
1643184000001,2022-01-26T08:00:00.001000+00:00,0.00001772,
1643212800005,2022-01-26T16:00:00.005000+00:00,0.00004317,
1643241600004,2022-01-27T00:00:00.004000+00:00,0.00002086,
1643270400004,2022-01-27T08:00:00.004000+00:00,0.00001788,
1643299200019,2022-01-27T16:00:00.019000+00:00,0.00001762,
1643328000000,2022-01-28T00:00:00+00:00,0.00007415,
1643356800000,2022-01-28T08:00:00+00:00,0.00010000,
1643385600025,2022-01-28T16:00:00.025000+00:00,0.00010000,
1643414400017,2022-01-29T00:00:00.017000+00:00,0.00005843,
1643443200000,2022-01-29T08:00:00+00:00,0.00010000,
1643472000013,2022-01-29T16:00:00.013000+00:00,0.00010000,
1643500800025,2022-01-30T00:00:00.025000+00:00,0.00010000,
1643529600009,2022-01-30T08:00:00.009000+00:00,0.00010000,
1643558400000,2022-01-30T16:00:00+00:00,0.00010000,
1643587200000,2022-01-31T00:00:00+00:00,0.00001264,
1643616000000,2022-01-31T08:00:00+00:00,0.00010000,
1643644800000,2022-01-31T16:00:00+00:00,0.00007164,
1643673600010,2022-02-01T00:00:00.010000+00:00,0.00008417,
1643702400000,2022-02-01T08:00:00+00:00,0.00006716,
1643731200004,2022-02-01T16:00:00.004000+00:00,0.00001600,
1643760000004,2022-02-02T00:00:00.004000+00:00,0.00004652,
1643788800000,2022-02-02T08:00:00+00:00,0.00010000,
1643817600002,2022-02-02T16:00:00.002000+00:00,0.00010000,
1643846400002,2022-02-03T00:00:00.002000+00:00,-0.00007720,
1643875200000,2022-02-03T08:00:00+00:00,0.00006771,
1643904000000,2022-02-03T16:00:00+00:00,0.00004929,
